ts_bucket,trigger_minute,timeframe,predicted_trend,truth_trend,direction_is_match,predicted_support,predicted_resistance,range_tolerance_pct,range_tolerance_abs,support_error_abs,resistance_error_abs,support_within_tolerance,resistance_within_tolerance,range_is_match,horizon_minutes,expected_bars,actual_bars,missing_bars,missing_start_time,truth_support,truth_resistance,path_state,start_open,end_close,max_high,min_low,close_return_bps,close_return_pct,max_up_bps,max_up_pct,max_down_bps,max_down_pct,up_breach_time,down_breach_time,complete_window
2026-03-17T16:45:00+00:00,45,4h,Sideways,Sideways,True,2311.07,2346.04,1.0,23.2483,4.539999999999964,4.210000000000036,True,True,True,240,240,240,0,,2315.61,2341.83,up_then_down,2324.83,2325.43,2341.83,2315.61,2.580833867422694,0.02580833867422694,73.12362624363855,0.7312362624363855,-39.65881376272628,-0.3965881376272628,2026-03-17T17:03:00+00:00,2026-03-17T19:46:00+00:00,True
2026-03-17T16:45:00+00:00,45,1d,Bullish,,False,2304.44,2377.0,1.0,,,,False,False,False,1440,1440,608,832,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T17:00:00+00:00,0,15m,Bullish,Sideways,False,2320.29,2332.84,1.0,23.2571,1.2199999999998,0.09999999999990905,True,True,True,15,15,15,0,,2319.07,2332.94,up_then_down,2325.71,2325.54,2332.94,2319.07,-0.7309595779358968,-0.007309595779358968,31.08728087336754,0.3108728087336754,-28.55042116170936,-0.2855042116170936,2026-03-17T17:03:00+00:00,2026-03-17T17:10:00+00:00,True
2026-03-17T17:00:00+00:00,0,4h,Sideways,Sideways,True,2310.39,2346.4,1.0,23.2571,5.220000000000255,4.570000000000164,True,True,True,240,240,240,0,,2315.61,2341.83,up_then_down,2325.71,2326.66,2341.83,2315.61,4.0847741119898195,0.040847741119898195,69.31216703716325,0.6931216703716325,-43.42759845380462,-0.4342759845380462,2026-03-17T17:03:00+00:00,2026-03-17T17:10:00+00:00,True
2026-03-17T17:00:00+00:00,0,1d,Bullish,,False,2304.44,2377.0,1.0,,,,False,False,False,1440,1440,593,847,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T17:15:00+00:00,15,15m,Bearish,Bullish,False,2319.07,2332.94,1.0,23.255300000000002,3.4600000000000364,1.3600000000001273,True,True,True,15,15,15,0,,2322.53,2334.3,up_only,2325.53,2328.17,2334.3,2322.53,11.35225088474412,0.1135225088474412,37.71183343151962,0.3771183343151962,-12.900285096301145,-0.12900285096301145,2026-03-17T17:22:00+00:00,,True
2026-03-17T17:15:00+00:00,15,4h,Sideways,Sideways,True,2315.25,2341.05,1.0,23.255300000000002,0.36000000000012733,3.949999999999818,True,True,True,240,240,240,0,,2315.61,2345.0,up_then_down,2325.53,2338.02,2345.0,2315.61,53.70818695093149,0.5370818695093149,83.72285027498982,0.8372285027498982,-42.65694271843423,-0.4265694271843423,2026-03-17T17:22:00+00:00,2026-03-17T19:46:00+00:00,True
2026-03-17T17:15:00+00:00,15,1d,Bullish,,False,2304.44,2346.37,1.0,,,,False,False,False,1440,1440,578,862,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T17:30:00+00:00,30,15m,Sideways,Bullish,False,2322.53,2334.97,1.0,23.2817,2.0399999999999636,0.45999999999958163,True,True,True,15,15,15,0,,2324.57,2334.51,up_only,2328.17,2332.29,2334.51,2324.57,17.69630224596863,0.17696302245968631,27.231688407634014,0.27231688407634014,-15.462788370265157,-0.15462788370265157,2026-03-17T17:40:00+00:00,,True
2026-03-17T17:30:00+00:00,30,4h,Sideways,Sideways,True,2303.0,2356.66,1.0,23.2817,12.610000000000127,11.659999999999854,True,True,True,240,240,240,0,,2315.61,2345.0,up_then_down,2328.17,2335.39,2345.0,2315.61,31.011481120364337,0.31011481120364337,72.2885356309888,0.722885356309888,-53.94795053625834,-0.5394795053625834,2026-03-17T17:40:00+00:00,2026-03-17T19:46:00+00:00,True
